OBJECTID,ID,Name,District,Class,CreatedBy,CreatedDate,EditBy,EditDate,GlobalID,Shape__Area,Shape__Length
1,ANCL,Ancarows Landing,Old South,2,richmondvagis,1572900161564,richmondvagis,1572900161564,d3763258-5b1a-4db5-8e8c-fe23331784a2,38118946.1796875,31998.5406904348
2,BFNT,Beaufont,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,682eb750-f6f7-4682-8e8a-09637b979a09,9003009.203125,12044.3922382198
3,ISLE,Belle and Mayo Islands,Downtown,3,richmondvagis,1572900161564,richmondvagis,1572900161564,27e63856-3380-4803-8be0-49926f45b5cd,12318937.3007813,23602.9606194263
4,BLMD,Bellemeade,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,8caa8e41-8a46-4158-ad95-00db7d6541fd,14060133.578125,15352.6052380613
5,BLVU,Bellevue,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,4609fa31-9100-4d2e-aaf0-a9b63f3c1866,18592001.1054688,18214.068154893
6,BMWD,Belmont Woods,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,7baddf67-6303-4d04-919d-5879f45e9132,8825774.53125,13801.9581041861
7,BCTR,Belt Center,Midlothian,2,richmondvagis,1572900161564,richmondvagis,1572900161564,679504f2-b819-4bcd-bd4f-657714517e38,9561116.5546875,17041.6505209331
8,BIO,Biotech and MCV District,Downtown,2,richmondvagis,1572900161564,richmondvagis,1572900161564,7bc097fa-0d16-4144-b2ad-c206e6f76733,5580532.2890625,12267.9017626349
9,BLKW,Blackwell,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a93cd195-4bb9-4d05-a203-18c5ce9d7925,10024034.0585938,13242.2737942625
10,BRAR,Brauers,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,e08edd35-7b8f-44ff-9e2e-2b09bd27ea28,2389372.65625,6337.7271226186
11,BRCF,British Camp Farms,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,82be128a-36eb-45de-b15b-a61d9b927cab,12546680.7304688,15341.1049848954
12,BRDR,Broad Rock,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,aaba8793-18f8-4347-bdd5-bb8afef269c0,6903014.26953125,13230.9650319142
13,BRIP,Broad Rock Industrial Park,Broad Rock,2,richmondvagis,1572900161564,richmondvagis,1572900161564,e756d5c8-1127-4362-a2a6-79248d0e30e9,21783191.0664063,22873.6403097182
