AddressId,AddressLabel,BuildingNumber,StreetDirection,StreetName,StreetType,ExtensionWithUnit,UnitType,UnitValue,ZipCode,Mailable,StatePlaneX,StatePlaneY,Latitude,Longitude,ID,Name,AddressBase,AddressExtension
2032686,2 N Allen Ave,2,N,Allen,Ave,,,,23220,No,11783388.9999555,3724932.70077668,37.54854633,-77.46353471,0350,Fan District Association,2 N Allen Ave,
3004798,1728 Trouvaille Al,1728,,Trouvaille,Al,,,,23220,Yes,11784050.4999449,3725833.89976169,37.55100125,-77.46121888,0350,Fan District Association,1728 Trouvaille Al,
3150289,2032 Park Ave Rear,2032,,Park,Ave,Rear,,,23220,No,11783240.0002535,3727366.37143427,37.55523421,-77.46395651,0350,Fan District Association,2032 Park Ave,
2032725,1811 Monument Ave Rear,1811,,Monument,Ave,Rear,,,23220,No,11784009.5000269,3726809.25017318,37.55368101,-77.46132328,0350,Fan District Association,1811 Monument Ave,
2032280,210 N Belvidere St,210,N,Belvidere,St,,,,23220,No,11787972.973071,3725006.77674402,37.54861049,-77.44772096,0350,Fan District Association,210 N Belvidere St,
3150816,1815 Monument Ave Rear,1815,,Monument,Ave,Rear,,,23220,No,11783965.5001149,3726840.59525485,37.55376842,-77.46147387,0350,Fan District Association,1815 Monument Ave,
2033138,517 N Arthur Ashe Blvd Unit G9,517,N,Arthur Ashe,Blvd,Unit G9,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
3150603,211 N Arthur Ashe Blvd Rear,211,N,Arthur Ashe,Blvd,Rear,,,23220,No,11780471.5002131,3727354.71857044,37.55528527,-77.47350686,0350,Fan District Association,211 N Arthur Ashe Blvd,
2033130,517 N Arthur Ashe Blvd Unit G1,517,N,Arthur Ashe,Blvd,Unit G1,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
1001155,1 S Allen Ave,1,S,Allen,Ave,,,,23220,Yes,11783414.4999045,3724718.62508935,37.54795766,-77.46345487,0350,Fan District Association,1 S Allen Ave,
3150271,1711 Hanover Ave Rear,1711,,Hanover,Ave,Rear,,,23220,No,11784090.9998639,3725823.52511051,37.55097154,-77.46107958,0350,Fan District Association,1711 Hanover Ave,
3150817,1817 Monument Ave Rear,1817,,Monument,Ave,Rear,,,23220,No,11783922.9998718,3726870.85963002,37.55385282,-77.46161932,0350,Fan District Association,1817 Monument Ave,
2033156,517 N Arthur Ashe Blvd Unit G27,517,N,Arthur Ashe,Blvd,Unit G27,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
3025977,2116 Sidewalk Al,2116,,Sidewalk,Al,,,,23220,Yes,11782081.9999449,3725230.74676852,37.54940415,-77.46803155,0350,Fan District Association,2116 Sidewalk Al,
2033144,517 N Arthur Ashe Blvd Unit G15,517,N,Arthur Ashe,Blvd,Unit G15,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
3149865,2212 Park Ave Rear,2212,,Park,Ave,Rear,,,23220,No,11782942.5946804,3727622.40241827,37.55594629,-77.46497273,0350,Fan District Association,2212 Park Ave,
2033143,517 N Arthur Ashe Blvd Unit G14,517,N,Arthur Ashe,Blvd,Unit G14,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033136,517 N Arthur Ashe Blvd Unit G7,517,N,Arthur Ashe,Blvd,Unit G7,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033134,517 N Arthur Ashe Blvd Unit G5,517,N,Arthur Ashe,Blvd,Unit G5,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
0011294,2039 W Broad St,2039,W,Broad,St,,,,23220,No,11783740.5002368,3728140.88038394,37.55734608,-77.46220068,0350,Fan District Association,2039 W Broad St,
3150331,517 N Arthur Ashe Blvd,517,N,Arthur Ashe,Blvd,,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2032665,1601 W Grace St,1601,W,Grace,St,,,,23220,No,11785185.0058779,3726651.08152626,37.55321106,-77.45727451,0350,Fan District Association,1601 W Grace St,
3150272,212 N Vine St Rear,212,N,Vine,St,Rear,,,23220,No,11784142.0000899,3725824.90010777,37.55097377,-77.46090361,0350,Fan District Association,212 N Vine St,
3114966,2311 Grove Ave Rear,2311,,Grove,Ave,Rear,,,23220,No,11781762.4999277,3726356.70383419,37.55250587,-77.46909116,0350,Fan District Association,2311 Grove Ave,
0040406,601 1/2 W Grace St,601 1/2,W,Grace,St,,,,23220,No,11787760.445937,3724763.79264994,37.5479497,-77.44846334,0350,Fan District Association,601 1/2 W Grace St,
2032331,835 W Grace St,835,W,Grace,St,,,,23220,Yes,11786900.4653735,3725348.6759946,37.54958219,-77.45140713,0350,Fan District Association,835 W Grace St,
0059747,207 N Laurel St,207,N,Laurel,St,,,,23284,Yes,11787279.5325288,3724985.56057911,37.54857343,-77.45011357,0350,Fan District Association,207 N Laurel St,
3150284,20 N Rowland St Rear,20,N,Rowland,St,Rear,,,23220,No,11782314.9998069,3725626.60391644,37.55048427,-77.46721295,0350,Fan District Association,20 N Rowland St,
0064502,1903 W Main St,1903,W,Main,St,,,,23220,Yes,11782960.0001573,3724923.75000714,37.54853468,-77.46501475,0350,Fan District Association,1903 W Main St,
0011324,2525 W Broad St,2525,W,Broad,St,,,,23220,No,11782289.500186,3729191.50000185,37.56027501,-77.46716637,0350,Fan District Association,2525 W Broad St,
2033145,517 N Arthur Ashe Blvd Unit G16,517,N,Arthur Ashe,Blvd,Unit G16,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033133,517 N Arthur Ashe Blvd Unit G4,517,N,Arthur Ashe,Blvd,Unit G4,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033147,517 N Arthur Ashe Blvd Unit G18,517,N,Arthur Ashe,Blvd,Unit G18,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033151,517 N Arthur Ashe Blvd Unit G22,517,N,Arthur Ashe,Blvd,Unit G22,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033132,517 N Arthur Ashe Blvd Unit G3,517,N,Arthur Ashe,Blvd,Unit G3,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2032719,204 N Granby St Rear,204,N,Granby,St,Rear,,,23220,No,11783355.5000225,3726072.0800596,37.55167632,-77.46360711,0350,Fan District Association,204 N Granby St,
3150292,201 N Stafford Ave Rear,201,N,Stafford,Ave,Rear,,,23220,No,11781865.1736069,3726730.38386111,37.55352899,-77.46872292,0350,Fan District Association,201 N Stafford Ave,
2032460,1025 Grove Ave,1025,,Grove,Ave,,,,23220,No,11785819.5000158,3724814.74989711,37.54814883,-77.455156,0350,Fan District Association,1025 Grove Ave,
0095323,106 Strawberry St Rear,106,,Strawberry,St,Rear,,,23220,No,11781738.9999747,3726285.72202078,37.55231164,-77.4691749,0350,Fan District Association,106 Strawberry St,
1088405,20 N Lombardy St Rear,20,N,Lombardy,St,Rear,,,23220,No,11784096.5001809,3724831.07007444,37.54824587,-77.46109828,0350,Fan District Association,20 N Lombardy St,
2033146,517 N Arthur Ashe Blvd Unit G17,517,N,Arthur Ashe,Blvd,Unit G17,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033150,517 N Arthur Ashe Blvd Unit G21,517,N,Arthur Ashe,Blvd,Unit G21,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
3150282,310 N Granby St Rear,310,N,Granby,St,Rear,,,23220,No,11783512.5000366,3726497.10447203,37.5528388,-77.46304947,0350,Fan District Association,310 N Granby St,
2032724,509 N Meadow St Rear,509,N,Meadow,St,Rear,,,23220,No,11783778.9998317,3726973.64256093,37.55413943,-77.46211214,0350,Fan District Association,509 N Meadow St,
3150646,2211 W Main St Rear,2211,W,Main,St,Rear,,,23220,Yes,11781767.9999167,3725374.45547061,37.54980823,-77.46910919,0350,Fan District Association,2211 W Main St,
2033131,517 N Arthur Ashe Blvd Unit G2,517,N,Arthur Ashe,Blvd,Unit G2,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033149,517 N Arthur Ashe Blvd Unit G20,517,N,Arthur Ashe,Blvd,Unit G20,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2033152,517 N Arthur Ashe Blvd Unit G23,517,N,Arthur Ashe,Blvd,Unit G23,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
2032473,1011 W Franklin St,1011,W,Franklin,St,,,,23220,No,11785965.5000519,3725555.46199836,37.55017855,-77.45462413,0350,Fan District Association,1011 W Franklin St,
0069108,1914 Grove Ave Rear,1914,,Grove,Ave,Rear,,,23220,No,11783284.5001645,3726102.30736135,37.55176148,-77.46385087,0350,Fan District Association,1914 Grove Ave,
1037124,805 W Franklin St,805,W,Franklin,St,,,,23220,No,11786925.5001004,3724848.30166727,37.54820729,-77.45133995,0350,Fan District Association,805 W Franklin St,
3150279,302 N Allen Ave Rear,302,N,Allen,Ave,Rear,,,23220,No,11783888.0002699,3726323.96866344,37.552352,-77.4617608,0350,Fan District Association,302 N Allen Ave,
2033142,517 N Arthur Ashe Blvd Unit G13,517,N,Arthur Ashe,Blvd,Unit G13,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
0047581,4 N Harrison St,4,N,Harrison,St,,,,23220,Yes,11785739.9998467,3724075.75006276,37.54612179,-77.45545841,0350,Fan District Association,4 N Harrison St,
2032340,706 W Grace St,706,W,Grace,St,,,,23220,No,11787569.4407416,3725124.33326744,37.54894567,-77.4491083,0350,Fan District Association,706 W Grace St,
3150484,207 N Stafford Ave Rear,207,N,Stafford,Ave,Rear,,,23220,No,11781875.5000298,3726779.33750336,37.55366312,-77.46868546,0350,Fan District Association,207 N Stafford Ave,
3150273,104 N Allen Ave Rear,104,N,Allen,Ave,Rear,,,23220,No,11783526.5000086,3725487.76790802,37.55006652,-77.46303942,0350,Fan District Association,104 N Allen Ave,
2032282,608 W Grace St,608,W,Grace,St,,,,23220,No,11787786.1450326,3724962.83654319,37.54849553,-77.44836705,0350,Fan District Association,608 W Grace St,
3026006,1131 W Grace St,1131,W,Grace,St,,,,23220,No,11785345.4999795,3726495.90204661,37.55278003,-77.45672682,0350,Fan District Association,1131 W Grace St,
2032777,2002 W Grace St,2002,W,Grace,St,,,,23220,No,11783991.5000629,3727776.16162519,37.55633691,-77.46134867,0350,Fan District Association,2002 W Grace St,
2032346,830 W Grace St,830,W,Grace,St,,,,23220,Yes,11787095.3878839,3725465.78927743,37.54989786,-77.45073031,0350,Fan District Association,830 W Grace St,
3115056,105 Strawberry St Rear,105,,Strawberry,St,Rear,,,23220,No,11781997.0001149,3726174.94566752,37.55199968,-77.46828914,0350,Fan District Association,105 Strawberry St,
3115055,106 N Shields Ave Rear,106,N,Shields,Ave,Rear,,,23220,No,11782063.9999809,3726146.37551469,37.55191921,-77.46805911,0350,Fan District Association,106 N Shields Ave,
2032967,300 N Davis Ave Rear,300,N,Davis,Ave,Rear,,,23220,No,11781342.0001125,3727435.0773336,37.55547992,-77.47050105,0350,Fan District Association,300 N Davis Ave,
2032580,1206 W Franklin St Rear,1206,W,Franklin,St,Rear,,,23220,No,11785581.0001647,3726250.26277411,37.55209831,-77.45592386,0350,Fan District Association,1206 W Franklin St,
3150268,1414 Floyd Ave Rear,1414,,Floyd,Ave,Rear,,,23220,No,11784958.0000984,3724866.88726002,37.54831816,-77.45812546,0350,Fan District Association,1414 Floyd Ave,
3115082,325 N Harrison St Rear,325,N,Harrison,St,Rear,,,23220,No,11786223.4998639,3725182.03295518,37.54914518,-77.4537485,0350,Fan District Association,325 N Harrison St,
0011291,2029 W Broad St,2029,W,Broad,St,,,,23220,Yes,11783852.0000138,3728057.74997278,37.55711442,-77.4618192,0350,Fan District Association,2029 W Broad St,
0047625,402 N Harrison St,402,N,Harrison,St,,,,23220,Yes,11786231.4998479,3725707.65821627,37.55058842,-77.45370082,0350,Fan District Association,402 N Harrison St,
2032324,26 N Laurel St,26,N,Laurel,St,,,,23220,No,11786935.0000813,3724716.0329029,37.54784376,-77.45131225,0350,Fan District Association,26 N Laurel St,
2032281,606 W Grace St,606,W,Grace,St,,,,23220,No,11787823.8106397,3724937.35102986,37.54842439,-77.44823812,0350,Fan District Association,606 W Grace St,
3150829,203 N Allen Ave Rear,203,N,Allen,Ave,Rear,,,23220,No,11784024.4999969,3725785.52420227,37.55086919,-77.4613104,0350,Fan District Association,203 N Allen Ave,
2032929,203 N Davis Ave Rear,203,N,Davis,Ave,Rear,,,23220,No,11781506.5001116,3726908.74210018,37.55402956,-77.46995342,0350,Fan District Association,203 N Davis Ave,
0011315,2311 W Broad St,2311,W,Broad,St,,,,23220,Yes,11782877.9999933,3728763.21476918,37.55908115,-77.46515241,0350,Fan District Association,2311 W Broad St,
2032458,5 N Harvie St Rear,5,N,Harvie,St,Rear,,,23220,No,11785110.0001224,3724390.6601941,37.54700573,-77.45761933,0350,Fan District Association,5 N Harvie St,
2033141,517 N Arthur Ashe Blvd Unit G12,517,N,Arthur Ashe,Blvd,Unit G12,,,23220,No,11781081.9999764,3728542.56396377,37.5585291,-77.47135629,0350,Fan District Association,517 N Arthur Ashe Blvd,
1064515,2003 W Main St,2003,W,Main,St,,,,23220,No,11782568.9999551,3725095.76803586,37.54901884,-77.46635688,0350,Fan District Association,2003 W Main St,
