unmatched_address,matched_address,matched_id,score
307 N. Allen Ave.,307 n allen ave,1134,100.0
1825 Grove Ave.,1825 grove ave,44288,100.0
1914 Grove Ave.,1914 grove ave,44311,100.0
2109 Hanover Ave.,2109 hanover ave,46614,100.0
1714 Park Ave.,1714 park ave,78953,100.0
1725 Park Ave.,1725 park ave,78959,100.0
2108 Stuart Ave.,2108 stuart ave,95629,100.0
1702 Grove Ave.,1702 grove ave,44211,100.0
1909 Hanover Ave.,1909 hanover ave,46541,100.0
1643 Monument Ave.,1643 monument ave,71809,100.0
1301 Park Ave.,1301 park ave,78857,100.0
2419 Park Ave.,2419 park ave,79242,100.0
2214 Stuart Ave.,2214 stuart ave,95678,100.0
2127 Floyd Ave.,2127 floyd ave,34854,100.0
102 N. Shields Ave.,102 n shields ave,91646,100.0
106 N. Shields Ave.,106 n shields ave,91648,100.0
109 N. Shields Ave.,109 n shields ave,91650,100.0
115 N. Shields Ave.,115 n shields ave,91653,100.0
117 N. Shields Ave.,117 n shields ave,91654,100.0
121 N. Shields Ave.,121 n shields ave,91656,100.0
1614 Hanover Ave.,1614 hanover ave,46418,100.0
1803 Hanover Ave.,1803 hanover ave,46499,100.0
1900 Hanover Ave.,1900 hanover ave,1046530,100.0
1719 Park Ave.,1719 park ave,78956,100.0
2021 Stuart Ave.,2021 stuart ave,95611,100.0
2013 Stuart Ave.,2013 stuart ave,95595,100.0
2020 Stuart Ave.,2020 stuart ave,95610,100.0
1824 Grove Ave.,1824 grove ave,44287,100.0
1810 Monument Ave.,1810 monument ave,71819,100.0
1414 Park Ave.,1414 park ave,78874,100.0
1502 Park Ave.,1502 park ave,78887,100.0
207 N. Shields Ave.,207 n shields ave,91668,100.0
1921 Stuart Ave.,1921 stuart ave,95573,100.0
204 Strawberry St.,204 strawberry st,95330,100.0
403 N. Allen Ave.,403 n allen ave,1138,100.0
1823 Grove Ave.,1823 grove ave,44286,100.0
2109 Hanover Ave.,2109 hanover ave,46614,100.0
2511 Kensington Ave.,2511 kensington ave,54584,100.0
2319 Monument Ave.,2319 monument ave,71981,100.0
1419 Park Ave.,1419 park ave,78879,100.0
1500 West Ave.,1500 west ave,102501,100.0
208 N. Allen Ave.,208 n allen ave,1126,100.0
209 N. Allen Ave.,209 n allen ave,1127,100.0
1913 Floyd Ave.,1913 floyd ave,34728,100.0
1308 Grove Ave.,1308 grove ave,43997,100.0
2221 Grove Ave.,2221 grove ave,1044434,100.0
1903 Hanover Ave.,1903 hanover ave,46533,100.0
1003 West Ave.,1003 west ave,102433,100.0
1508 Grove Ave.,1508 grove ave,44100,100.0
1511 Hanover Ave.,1511 hanover ave,46391,100.0
1306 Park Ave.,1306 park ave,78861,100.0
1500 Park Ave.,1500 park ave,78886,100.0
1138 West Ave.,1138 west ave,102487,100.0
1819 Hanover Ave.,1819 hanover ave,46516,100.0
2319 Monument Ave.,2319 monument ave,71981,100.0
2502 Monument Ave.,2502 monument ave,71993,100.0
1824 Park Ave.,1824 park ave,78991,100.0
2402 Park Ave.,2402 park ave,79224,100.0
2021 Stuart Ave.,2021 stuart ave,95611,100.0
503 Stuart Cir.,503 stuart cir,1088822,100.0
605 N. Davis Ave.,605 n davis ave,26582,100.0
1808 Hanover Ave.,1808 hanover ave,1046504,100.0
2513 Kensington Ave.,2513 kensington ave,54586,100.0
404 N. Meadow St.,404 n meadow st,69135,100.0
2601 Monument Ave.,2601 monument ave,72014,100.0
2605 Monument Ave.,2605 monument ave,72022,100.0
